#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01327 	 CRISPR-DR14 	 AM180355 	 1702
RF01327 	 CRISPR-DR14 	 AM180355 	 1703
RF01327 	 CRISPR-DR14 	 AM180355 	 1704
RF00169 	 Bacteria_small_SRP 	 AM180355 	 1705
RF00162 	 SAM 	 AM180355 	 1706
RF00230 	 T-box 	 AM180355 	 1707
RF00002 	 5_8S_rRNA 	 AM180355 	 1708
RF00005 	 tRNA 	 AM180355 	 1709
RF00005 	 tRNA 	 AM180355 	 1710
RF00005 	 tRNA 	 AM180355 	 1711
RF00005 	 tRNA 	 AM180355 	 1712
RF01118 	 PK-G12rRNA 	 AM180355 	 1713
RF00230 	 T-box 	 AM180355 	 1714
RF00001 	 5S_rRNA 	 AM180355 	 1715
RF01118 	 PK-G12rRNA 	 AM180355 	 1881
RF00005 	 tRNA 	 AM180355 	 1882
RF00162 	 SAM 	 AM180355 	 1883
RF01749 	 pan 	 AM180355 	 1884
RF00230 	 T-box 	 AM180355 	 1885
RF01327 	 CRISPR-DR14 	 AM180355 	 1886
RF01327 	 CRISPR-DR14 	 AM180355 	 1887
RF01327 	 CRISPR-DR14 	 AM180355 	 1888
RF01327 	 CRISPR-DR14 	 AM180355 	 1889
RF00167 	 Purine 	 AM180355 	 1890
RF00230 	 T-box 	 AM180355 	 1891
RF00001 	 5S_rRNA 	 AM180355 	 2059
RF01327 	 CRISPR-DR14 	 AM180355 	 2060
RF01327 	 CRISPR-DR14 	 AM180355 	 2061
RF00005 	 tRNA 	 AM180355 	 2062
RF00005 	 tRNA 	 AM180355 	 2063
RF00005 	 tRNA 	 AM180355 	 2064
RF00230 	 T-box 	 AM180355 	 2065
RF00515 	 PyrR 	 AM180355 	 2066
RF01327 	 CRISPR-DR14 	 AM180355 	 2254
RF00005 	 tRNA 	 AM180355 	 2255
RF00023 	 tmRNA 	 AM180355 	 2256
RF00001 	 5S_rRNA 	 AM180355 	 2257
RF01364 	 CRISPR-DR51 	 AM180355 	 2258
RF01327 	 CRISPR-DR14 	 AM180355 	 2259
RF01327 	 CRISPR-DR14 	 AM180355 	 2260
RF00230 	 T-box 	 AM180355 	 2261
RF00005 	 tRNA 	 AM180355 	 2262
RF01327 	 CRISPR-DR14 	 AM180355 	 2263
RF00230 	 T-box 	 AM180355 	 2264
RF01051 	 c-di-GMP-I 	 AM180355 	 2265
RF01118 	 PK-G12rRNA 	 AM180355 	 2266
RF01327 	 CRISPR-DR14 	 AM180355 	 2267
RF01989 	 SECIS_3 	 AM180355 	 2268
RF01051 	 c-di-GMP-I 	 AM180355 	 2514
RF00230 	 T-box 	 AM180355 	 2515
RF01118 	 PK-G12rRNA 	 AM180355 	 2516
RF00238 	 ctRNA_pND324 	 AM180355 	 2517
RF01118 	 PK-G12rRNA 	 AM180355 	 2518
RF00162 	 SAM 	 AM180355 	 2519
RF01327 	 CRISPR-DR14 	 AM180355 	 2520
RF01327 	 CRISPR-DR14 	 AM180355 	 2521
RF01327 	 CRISPR-DR14 	 AM180355 	 2522
RF00168 	 Lysine 	 AM180355 	 2523
RF01734 	 crcB 	 AM180355 	 2524
RF00005 	 tRNA 	 AM180355 	 2525
RF00001 	 5S_rRNA 	 AM180355 	 2797
RF01327 	 CRISPR-DR14 	 AM180355 	 2798
RF00230 	 T-box 	 AM180355 	 2799
RF00050 	 FMN 	 AM180355 	 2800
RF00442 	 ykkC-yxkD 	 AM180355 	 2801
RF00080 	 yybP-ykoY 	 AM180355 	 2802
RF01361 	 CRISPR-DR48 	 AM180355 	 2803
RF00001 	 5S_rRNA 	 AM180355 	 2804
RF01786 	 c-di-GMP-II 	 AM180355 	 2805
RF00005 	 tRNA 	 AM180355 	 2806
RF00005 	 tRNA 	 AM180355 	 2807
RF00005 	 tRNA 	 AM180355 	 3165
RF00001 	 5S_rRNA 	 AM180355 	 3166
RF00005 	 tRNA 	 AM180355 	 3167
RF00023 	 tmRNA 	 AM180355 	 3168
RF00005 	 tRNA 	 AM180355 	 3169
RF01327 	 CRISPR-DR14 	 AM180355 	 3170
RF00059 	 TPP 	 AM180355 	 3171
RF00005 	 tRNA 	 AM180355 	 3172
RF01327 	 CRISPR-DR14 	 AM180355 	 3173
RF01327 	 CRISPR-DR14 	 AM180355 	 3174
RF00515 	 PyrR 	 AM180355 	 3175
RF00242 	 ctRNA_pT181 	 AM180355 	 3176
RF01327 	 CRISPR-DR14 	 AM180355 	 3177
RF01786 	 c-di-GMP-II 	 AM180355 	 3178
RF01051 	 c-di-GMP-I 	 AM180355 	 3179
RF00168 	 Lysine 	 AM180355 	 3180
RF01786 	 c-di-GMP-II 	 AM180355 	 3181
RF00515 	 PyrR 	 AM180355 	 3182
RF00005 	 tRNA 	 AM180355 	 3183
RF00442 	 ykkC-yxkD 	 AM180355 	 3184
RF00238 	 ctRNA_pND324 	 AM180355 	 3185
RF00005 	 tRNA 	 AM180355 	 3648
RF00059 	 TPP 	 AM180355 	 3649
RF01342 	 CRISPR-DR32 	 AM180355 	 3650
RF00005 	 tRNA 	 AM180355 	 3651
RF00238 	 ctRNA_pND324 	 AM180355 	 3652
RF02004 	 group-II-D1D4-5 	 AM180355 	 3653
RF00005 	 tRNA 	 AM180355 	 4041
RF01990 	 SECIS_4 	 AM180355 	 4042
RF01051 	 c-di-GMP-I 	 AM180355 	 4043
RF00238 	 ctRNA_pND324 	 AM180355 	 4044
RF00504 	 Glycine 	 AM180355 	 4045
RF00238 	 ctRNA_pND324 	 AM180355 	 4046
RF00005 	 tRNA 	 AM180355 	 4047
RF00005 	 tRNA 	 AM180355 	 4048
RF00029 	 Intron_gpII 	 AM180355 	 4049
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 1
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 2
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 3
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 4
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 5
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 7
RF00177 	 SSU_rRNA_bacteria 	 CP000800 	 8
RF00140 	 Alpha_RBS 	 CP000800 	 10
RF00023 	 tmRNA 	 CP000800 	 41
RF00114 	 S15 	 CP000800 	 44
RF00127 	 t44 	 CP000800 	 60
RF00010 	 RNaseP_bact_a 	 CP000800 	 71
RF00018 	 CsrB 	 CP000800 	 73
RF01118 	 PK-G12rRNA 	 CP000800 	 74
RF01766 	 cspA 	 CP000800 	 83
RF00084 	 CsrC 	 CP000800 	 88
RF01118 	 PK-G12rRNA 	 CP000800 	 90
RF01118 	 PK-G12rRNA 	 CP000800 	 94
RF01766 	 cspA 	 CP000800 	 97
RF01118 	 PK-G12rRNA 	 CP000800 	 102
RF01118 	 PK-G12rRNA 	 CP000800 	 103
RF01118 	 PK-G12rRNA 	 CP000800 	 104
RF01118 	 PK-G12rRNA 	 CP000800 	 107
RF01766 	 cspA 	 CP000800 	 112
RF01830 	 StyR-44 	 CP000800 	 115
RF01830 	 StyR-44 	 CP000800 	 117
RF01830 	 StyR-44 	 CP000800 	 118
RF01794 	 sok 	 CP000800 	 126
RF01830 	 StyR-44 	 CP000800 	 145
RF01830 	 StyR-44 	 CP000800 	 147
RF01794 	 sok 	 CP000800 	 150
RF01766 	 cspA 	 CP000800 	 153
RF01794 	 sok 	 CP000800 	 160
RF00013 	 6S 	 CP000800 	 162
RF00128 	 GlmY_tke1 	 CP000800 	 164
RF00022 	 GcvB 	 CP000800 	 169
RF01830 	 StyR-44 	 CP000800 	 170
RF01830 	 StyR-44 	 CP000800 	 171
RF01394 	 isrK 	 CP000800 	 176
RF00174 	 Cobalamin 	 CP000800 	 196
RF02069 	 STnc70 	 CP000800 	 223
RF00005 	 tRNA 	 CP000800 	 230
RF00005 	 tRNA 	 CP000800 	 240
RF00083 	 GlmZ_SraJ 	 CP000800 	 241
RF00005 	 tRNA 	 CP000800 	 261
RF00005 	 tRNA 	 CP000800 	 327
RF00005 	 tRNA 	 CP000800 	 355
RF00126 	 ryfA 	 CP000800 	 438
RF01394 	 isrK 	 CP000800 	 441
RF00040 	 rne5 	 CP000800 	 458
RF00005 	 tRNA 	 CP000800 	 467
RF00005 	 tRNA 	 CP000800 	 482
RF00005 	 tRNA 	 CP000800 	 503
RF00005 	 tRNA 	 CP000800 	 506
RF00005 	 tRNA 	 CP000800 	 522
RF01707 	 JUMPstart 	 CP000800 	 527
RF00005 	 tRNA 	 CP000800 	 557
RF00005 	 tRNA 	 CP000800 	 575
RF00005 	 tRNA 	 CP000800 	 586
RF00005 	 tRNA 	 CP000800 	 600
RF00005 	 tRNA 	 CP000800 	 609
RF00005 	 tRNA 	 CP000800 	 625
RF01497 	 ALIL 	 CP000800 	 645
RF01748 	 nuoG 	 CP000800 	 648
RF00005 	 tRNA 	 CP000800 	 652
RF01055 	 MOCO_RNA_motif 	 CP000800 	 661
RF00005 	 tRNA 	 CP000800 	 666
RF00001 	 5S_rRNA 	 CP000800 	 711
RF01766 	 cspA 	 CP000800 	 713
RF00005 	 tRNA 	 CP000800 	 724
RF00005 	 tRNA 	 CP000800 	 735
RF00005 	 tRNA 	 CP000800 	 746
RF00078 	 MicA 	 CP000800 	 749
RF00391 	 RtT 	 CP000800 	 752
RF00001 	 5S_rRNA 	 CP000800 	 758
RF01989 	 SECIS_3 	 CP000800 	 811
RF01794 	 sok 	 CP000800 	 826
RF00005 	 tRNA 	 CP000800 	 846
RF00001 	 5S_rRNA 	 CP000800 	 861
RF01754 	 radC 	 CP000800 	 902
RF01668 	 P10 	 CP000800 	 914
RF00001 	 5S_rRNA 	 CP000800 	 924
RF00001 	 5S_rRNA 	 CP000800 	 961
RF00005 	 tRNA 	 CP000800 	 968
RF01517 	 iscRS 	 CP000800 	 1017
RF00001 	 5S_rRNA 	 CP000800 	 1031
RF00111 	 RyeB 	 CP000800 	 1038
RF00005 	 tRNA 	 CP000800 	 1085
RF00005 	 tRNA 	 CP000800 	 1123
RF00001 	 5S_rRNA 	 CP000800 	 1128
RF00005 	 tRNA 	 CP000800 	 1165
RF00101 	 SraC_RyeA 	 CP000800 	 1167
RF00005 	 tRNA 	 CP000800 	 1180
RF00005 	 tRNA 	 CP000800 	 1181
RF00005 	 tRNA 	 CP000800 	 1213
RF00005 	 tRNA 	 CP000800 	 1218
RF00005 	 tRNA 	 CP000800 	 1221
RF00005 	 tRNA 	 CP000800 	 1236
RF00005 	 tRNA 	 CP000800 	 1253
RF00001 	 5S_rRNA 	 CP000800 	 1259
RF00005 	 tRNA 	 CP000800 	 1261
RF00077 	 SraB 	 CP000800 	 1267
RF01794 	 sok 	 CP000800 	 1277
RF00005 	 tRNA 	 CP000800 	 1278
RF00033 	 MicF 	 CP000800 	 1283
RF00005 	 tRNA 	 CP000800 	 1291
RF01056 	 Mg_sensor 	 CP000800 	 1381
RF01707 	 JUMPstart 	 CP000800 	 1394
RF00005 	 tRNA 	 CP000800 	 1408
RF00005 	 tRNA 	 CP000800 	 1422
RF00005 	 tRNA 	 CP000800 	 1530
RF00005 	 tRNA 	 CP000800 	 1531
RF01394 	 isrK 	 CP000800 	 1554
RF00005 	 tRNA 	 CP000800 	 1587
RF00005 	 tRNA 	 CP000800 	 1601
RF00005 	 tRNA 	 CP000800 	 1606
RF00005 	 tRNA 	 CP000800 	 1633
RF00005 	 tRNA 	 CP000800 	 1642
RF00029 	 Intron_gpII 	 CP000800 	 1646
RF00005 	 tRNA 	 CP000800 	 1654
RF00029 	 Intron_gpII 	 CP000800 	 1655
RF00005 	 tRNA 	 CP000800 	 1661
RF00005 	 tRNA 	 CP000800 	 1678
RF00382 	 DnaX 	 CP000800 	 1695
RF00005 	 tRNA 	 CP000800 	 1727
RF00005 	 tRNA 	 CP000800 	 1728
RF02031 	 tpke11 	 CP000800 	 1765
RF00029 	 Intron_gpII 	 CP000800 	 1779
RF02030 	 tp2 	 CP000800 	 1810
RF01372 	 CRISPR-DR59 	 CP000800 	 1824
RF00371 	 sroE 	 CP000800 	 1871
RF02052 	 STnc630 	 CP000800 	 1877
RF00005 	 tRNA 	 CP000800 	 1956
RF00050 	 FMN 	 CP000800 	 1969
RF00005 	 tRNA 	 CP000800 	 1976
RF01372 	 CRISPR-DR59 	 CP000800 	 1980
RF00168 	 Lysine 	 CP000800 	 2038
RF00514 	 His_leader 	 CP000800 	 2095
RF00005 	 tRNA 	 CP000800 	 2110
RF00005 	 tRNA 	 CP000800 	 2124
RF00005 	 tRNA 	 CP000800 	 2133
RF00113 	 QUAD 	 CP000800 	 2141
RF00081 	 ArcZ 	 CP000800 	 2146
RF01409 	 STnc250 	 CP000800 	 2194
RF00005 	 tRNA 	 CP000800 	 2211
RF02194 	 HPnc0260 	 CP000800 	 2235
RF00005 	 tRNA 	 CP000800 	 2236
RF00005 	 tRNA 	 CP000800 	 2325
RF00630 	 P26 	 CP000800 	 2367
RF00005 	 tRNA 	 CP000800 	 2447
RF00005 	 tRNA 	 CP000800 	 2448
RF00505 	 RydC 	 CP000800 	 2464
RF00059 	 TPP 	 CP000800 	 2477
RF00128 	 GlmY_tke1 	 CP000800 	 2568
RF00124 	 IS102 	 CP000800 	 2569
RF00534 	 SgrS 	 CP000800 	 2570
RF00113 	 QUAD 	 CP000800 	 2635
RF00005 	 tRNA 	 CP000800 	 2658
RF00021 	 Spot_42 	 CP000800 	 2738
RF00005 	 tRNA 	 CP000800 	 2770
RF00169 	 Bacteria_small_SRP 	 CP000800 	 2782
RF01683 	 P6 	 CP000800 	 2791
RF01394 	 isrK 	 CP000800 	 2792
RF02064 	 STnc370 	 CP000800 	 2793
RF00083 	 GlmZ_SraJ 	 CP000800 	 2828
RF00370 	 sroD 	 CP000800 	 2868
RF00124 	 IS102 	 CP000800 	 2869
RF01794 	 sok 	 CP000800 	 2895
RF01317 	 CRISPR-DR4 	 CP000800 	 2921
RF00005 	 tRNA 	 CP000800 	 2956
RF02029 	 sraA 	 CP000800 	 2968
RF00506 	 Thr_leader 	 CP000800 	 2987
RF02057 	 STnc40 	 CP000800 	 3002
RF00005 	 tRNA 	 CP000800 	 3003
RF01068 	 mini-ykkC 	 CP000800 	 3004
RF00117 	 C0719 	 CP000800 	 3019
RF00174 	 Cobalamin 	 CP000800 	 3040
RF00005 	 tRNA 	 CP000800 	 3054
RF01695 	 C4 	 CP000800 	 3055
RF00005 	 tRNA 	 CP000800 	 3056
RF01342 	 CRISPR-DR32 	 CP000800 	 3057
RF00110 	 RybB 	 CP000800 	 3090
RF02082 	 STnc540 	 CP000800 	 3101
RF00005 	 tRNA 	 CP000800 	 3102
RF00080 	 yybP-ykoY 	 CP000800 	 3112
RF02079 	 STnc180 	 CP000800 	 3126
RF02081 	 STnc550 	 CP000800 	 3127
RF00001 	 5S_rRNA 	 CP000800 	 3128
RF01366 	 CRISPR-DR53 	 CP000800 	 3129
RF01794 	 sok 	 CP000800 	 3147
RF02111 	 IS009 	 CP000800 	 3160
RF00080 	 yybP-ykoY 	 CP000800 	 3161
RF01813 	 rdlD 	 CP000800 	 3162
RF01771 	 rnk_leader 	 CP000800 	 3163
RF00005 	 tRNA 	 CP000800 	 3200
RF00113 	 QUAD 	 CP000800 	 3201
RF01394 	 isrK 	 CP000800 	 3238
RF01695 	 C4 	 CP000800 	 3239
RF00005 	 tRNA 	 CP000800 	 3240
RF00552 	 rncO 	 CP000800 	 3241
RF00005 	 tRNA 	 CP000800 	 3257
RF01794 	 sok 	 CP000800 	 3258
RF01317 	 CRISPR-DR4 	 CP000800 	 3259
RF01989 	 SECIS_3 	 CP000800 	 3283
RF01813 	 rdlD 	 CP000800 	 3307
RF00005 	 tRNA 	 CP000800 	 3308
RF02051 	 STnc450 	 CP000800 	 3309
RF00122 	 GadY 	 CP000800 	 3323
RF00082 	 SraG 	 CP000800 	 3346
RF01832 	 ROSE_2 	 CP000800 	 3394
RF00035 	 OxyS 	 CP000800 	 3395
RF01794 	 sok 	 CP000800 	 3396
RF00112 	 CyaR_RyeE 	 CP000800 	 3411
RF01407 	 STnc560 	 CP000800 	 3431
RF01769 	 greA 	 CP000800 	 3432
RF00519 	 suhB 	 CP000800 	 3468
RF00005 	 tRNA 	 CP000800 	 3486
RF01372 	 CRISPR-DR59 	 CP000800 	 3516
RF01770 	 rimP 	 CP000800 	 3545
RF01813 	 rdlD 	 CP000800 	 3546
RF00113 	 QUAD 	 CP000800 	 3578
RF01989 	 SECIS_3 	 CP000800 	 3603
RF00005 	 tRNA 	 CP000800 	 3639
RF01988 	 SECIS_2 	 CP000800 	 3640
RF00519 	 suhB 	 CP000800 	 3681
RF00014 	 DsrA 	 CP000800 	 3682
RF01408 	 sraL 	 CP000800 	 3683
RF01372 	 CRISPR-DR59 	 CP000800 	 3720
RF01796 	 frnS 	 CP000800 	 3775
RF01356 	 CRISPR-DR28 	 CP000800 	 3776
RF00005 	 tRNA 	 CP000800 	 3777
RF00059 	 TPP 	 CP000800 	 3778
RF01859 	 Phe_leader 	 CP000800 	 3821
RF02111 	 IS009 	 CP000800 	 3895
RF01365 	 CRISPR-DR52 	 CP000800 	 3943
RF01813 	 rdlD 	 CP000800 	 3944
RF00118 	 rydB 	 CP000800 	 3945
RF00059 	 TPP 	 CP000800 	 3946
RF00005 	 tRNA 	 CP000800 	 4009
RF01356 	 CRISPR-DR28 	 CP000800 	 4010
RF00391 	 RtT 	 CP000800 	 4060
RF01705 	 Flavo-1 	 CP000800 	 4061
RF01356 	 CRISPR-DR28 	 CP000800 	 4062
RF00391 	 RtT 	 CP000800 	 4133
RF01394 	 isrK 	 CP000800 	 4134
RF02074 	 STnc240 	 CP000800 	 4135
RF00369 	 sroC 	 CP000800 	 4136
RF00368 	 sroB 	 CP000800 	 4197
RF00115 	 IS061 	 CP000800 	 4289
RF00113 	 QUAD 	 CP000800 	 4404
RF00113 	 QUAD 	 CP000800 	 4405
RF01730 	 Termite-leu 	 CP000800 	 4406
RF00005 	 tRNA 	 CP000800 	 4407
RF00005 	 tRNA 	 CP000800 	 4408
RF00519 	 suhB 	 CP000800 	 4409
RF00005 	 tRNA 	 CP000800 	 4511
RF01813 	 rdlD 	 CP000800 	 4512
RF00489 	 ctRNA_p42d 	 CP000800 	 4513
RF00005 	 tRNA 	 CP000800 	 4514
RF00005 	 tRNA 	 CP000800 	 4515
RF00512 	 Leu_leader 	 CP000800 	 4516
RF00005 	 tRNA 	 CP000800 	 4517
RF00519 	 suhB 	 CP000800 	 4624
RF02076 	 STnc100 	 CP000800 	 4625
RF01695 	 C4 	 CP000800 	 4626
RF00005 	 tRNA 	 CP000800 	 4627
RF00079 	 OmrA-B 	 CP000800 	 4628
RF00519 	 suhB 	 CP000800 	 4629
RF02060 	 STnc410 	 CP000800 	 4630
RF00519 	 suhB 	 CP000800 	 4631
RF01385 	 isrA 	 CP000800 	 4632
RF00119 	 C0299 	 CP000800 	 4739
RF00391 	 RtT 	 CP000800 	 4740
RF01695 	 C4 	 CP000800 	 4741
RF01356 	 CRISPR-DR28 	 CP000800 	 4742
RF01356 	 CRISPR-DR28 	 CP000800 	 4743
RF00113 	 QUAD 	 CP000800 	 4744
RF00079 	 OmrA-B 	 CP000800 	 4745
RF00391 	 RtT 	 CP000800 	 4746
RF02111 	 IS009 	 CP000800 	 4747
RF02076 	 STnc100 	 CP000800 	 4856
RF00513 	 Trp_leader 	 CP000800 	 4857
RF00005 	 tRNA 	 CP000800 	 4858
RF00034 	 RprA 	 CP000800 	 4859
RF01340 	 CRISPR-DR29 	 CP000800 	 4860
RF02083 	 OrzO-P 	 CP000800 	 4861
RF02111 	 IS009 	 CP000800 	 4862
RF00005 	 tRNA 	 CP000800 	 4863
RF01400 	 istR 	 CP000800 	 4864
RF00005 	 tRNA 	 CP000800 	 4865
RF00512 	 Leu_leader 	 CP000800 	 4866
RF00005 	 tRNA 	 CP000800 	 4975
RF00116 	 C0465 	 CP000800 	 4976
RF00106 	 RNAI 	 CP000800 	 4977
RF01359 	 CRISPR-DR46 	 CP000800 	 4978
RF00057 	 RyhB 	 CP000800 	 4979
RF01852 	 tRNA-Sec 	 CP000800 	 4980
RF00372 	 sroH 	 CP000800 	 4981
RF02084 	 STnc130 	 CP000800 	 4982
RF00391 	 RtT 	 CP000800 	 5060
RF00039 	 DicF 	 CP000800 	 5061
RF00121 	 MicC 	 CP000800 	 5062
RF01356 	 CRISPR-DR28 	 CP000800 	 5063
RF01356 	 CRISPR-DR28 	 CP000800 	 5064
RF00039 	 DicF 	 CP000800 	 5065
RF01356 	 CRISPR-DR28 	 CP000800 	 5066
RF01707 	 JUMPstart 	 CP000800 	 5067
RF02083 	 OrzO-P 	 CP000800 	 5068
RF01356 	 CRISPR-DR28 	 CP000800 	 5069
RF01859 	 Phe_leader 	 CP000800 	 5070
RF01730 	 Termite-leu 	 CP000800 	 5071
RF01394 	 isrK 	 CP000800 	 5072
RF01356 	 CRISPR-DR28 	 CP000800 	 5073
RF00391 	 RtT 	 CP000800 	 5074
RF02064 	 STnc370 	 CP000800 	 5075
RF00084 	 CsrC 	 CP000800 	 5076
RF02053 	 STnc430 	 CP000800 	 5077
RF00005 	 tRNA 	 CP000800 	 5078
RF01342 	 CRISPR-DR32 	 CP000800 	 5079
RF02068 	 STnc480 	 CP000800 	 5080
RF01356 	 CRISPR-DR28 	 CP000800 	 5115
RF01356 	 CRISPR-DR28 	 CP000800 	 5116
RF01356 	 CRISPR-DR28 	 CP000800 	 5117
RF01999 	 group-II-D1D4-2 	 CP000800 	 5118
RF02076 	 STnc100 	 CP000800 	 5119
RF01401 	 rseX 	 CP000800 	 5120
RF02075 	 STnc230 	 CP000800 	 5121
RF00005 	 tRNA 	 CP000800 	 5122
RF01342 	 CRISPR-DR32 	 CP000800 	 5123
RF01356 	 CRISPR-DR28 	 CP000800 	 5124
RF01118 	 PK-G12rRNA 	 U00096 	 2
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 3
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 4
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 5
RF01118 	 PK-G12rRNA 	 U00096 	 6
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 7
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 8
RF01118 	 PK-G12rRNA 	 U00096 	 9
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 10
RF00177 	 SSU_rRNA_bacteria 	 U00096 	 11
RF01118 	 PK-G12rRNA 	 U00096 	 15
RF01118 	 PK-G12rRNA 	 U00096 	 17
RF01118 	 PK-G12rRNA 	 U00096 	 18
RF01118 	 PK-G12rRNA 	 U00096 	 19
RF00023 	 tmRNA 	 U00096 	 56
RF01850 	 beta_tmRNA 	 U00096 	 65
RF00010 	 RNaseP_bact_a 	 U00096 	 66
RF00018 	 CsrB 	 U00096 	 67
RF00140 	 Alpha_RBS 	 U00096 	 77
RF01766 	 cspA 	 U00096 	 115
RF01409 	 STnc250 	 U00096 	 116
RF01830 	 StyR-44 	 U00096 	 142
RF01830 	 StyR-44 	 U00096 	 144
RF01830 	 StyR-44 	 U00096 	 145
RF00127 	 t44 	 U00096 	 168
RF00114 	 S15 	 U00096 	 171
RF00022 	 GcvB 	 U00096 	 177
RF01766 	 cspA 	 U00096 	 183
RF00001 	 5S_rRNA 	 U00096 	 187
RF00001 	 5S_rRNA 	 U00096 	 188
RF00001 	 5S_rRNA 	 U00096 	 190
RF01830 	 StyR-44 	 U00096 	 194
RF00001 	 5S_rRNA 	 U00096 	 195
RF00001 	 5S_rRNA 	 U00096 	 201
RF00001 	 5S_rRNA 	 U00096 	 202
RF00382 	 DnaX 	 U00096 	 213
RF00005 	 tRNA 	 U00096 	 218
RF00001 	 5S_rRNA 	 U00096 	 219
RF01830 	 StyR-44 	 U00096 	 222
RF00001 	 5S_rRNA 	 U00096 	 226
RF00013 	 6S 	 U00096 	 234
RF01830 	 StyR-44 	 U00096 	 241
RF01830 	 StyR-44 	 U00096 	 253
RF01766 	 cspA 	 U00096 	 255
RF00084 	 CsrC 	 U00096 	 275
RF02069 	 STnc70 	 U00096 	 281
RF00372 	 sroH 	 U00096 	 289
RF00005 	 tRNA 	 U00096 	 312
RF01730 	 Termite-leu 	 U00096 	 315
RF00005 	 tRNA 	 U00096 	 326
RF00005 	 tRNA 	 U00096 	 330
RF00005 	 tRNA 	 U00096 	 336
RF00005 	 tRNA 	 U00096 	 351
RF00005 	 tRNA 	 U00096 	 361
RF00005 	 tRNA 	 U00096 	 364
RF00005 	 tRNA 	 U00096 	 365
RF00005 	 tRNA 	 U00096 	 367
RF00005 	 tRNA 	 U00096 	 372
RF00005 	 tRNA 	 U00096 	 379
RF01989 	 SECIS_3 	 U00096 	 390
RF01748 	 nuoG 	 U00096 	 393
RF00391 	 RtT 	 U00096 	 417
RF01766 	 cspA 	 U00096 	 433
RF00005 	 tRNA 	 U00096 	 434
RF00005 	 tRNA 	 U00096 	 442
RF00005 	 tRNA 	 U00096 	 443
RF00005 	 tRNA 	 U00096 	 460
RF00005 	 tRNA 	 U00096 	 463
RF00005 	 tRNA 	 U00096 	 466
RF00005 	 tRNA 	 U00096 	 473
RF00005 	 tRNA 	 U00096 	 475
RF00005 	 tRNA 	 U00096 	 479
RF00005 	 tRNA 	 U00096 	 488
RF01055 	 MOCO_RNA_motif 	 U00096 	 518
RF01342 	 CRISPR-DR32 	 U00096 	 544
RF00005 	 tRNA 	 U00096 	 547
RF00005 	 tRNA 	 U00096 	 550
RF00005 	 tRNA 	 U00096 	 556
RF01989 	 SECIS_3 	 U00096 	 557
RF00005 	 tRNA 	 U00096 	 559
RF00005 	 tRNA 	 U00096 	 566
RF00005 	 tRNA 	 U00096 	 571
RF00005 	 tRNA 	 U00096 	 572
RF00005 	 tRNA 	 U00096 	 582
RF00005 	 tRNA 	 U00096 	 584
RF00005 	 tRNA 	 U00096 	 590
RF00005 	 tRNA 	 U00096 	 602
RF00005 	 tRNA 	 U00096 	 629
RF00005 	 tRNA 	 U00096 	 656
RF00630 	 P26 	 U00096 	 674
RF00005 	 tRNA 	 U00096 	 683
RF00005 	 tRNA 	 U00096 	 685
RF00005 	 tRNA 	 U00096 	 710
RF01668 	 P10 	 U00096 	 721
RF00005 	 tRNA 	 U00096 	 754
RF00005 	 tRNA 	 U00096 	 795
RF00005 	 tRNA 	 U00096 	 796
RF01707 	 JUMPstart 	 U00096 	 802
RF00391 	 RtT 	 U00096 	 810
RF00040 	 rne5 	 U00096 	 823
RF00077 	 SraB 	 U00096 	 837
RF02031 	 tpke11 	 U00096 	 860
RF00005 	 tRNA 	 U00096 	 875
RF00081 	 ArcZ 	 U00096 	 888
RF01372 	 CRISPR-DR59 	 U00096 	 891
RF00005 	 tRNA 	 U00096 	 923
RF00174 	 Cobalamin 	 U00096 	 959
RF00101 	 SraC_RyeA 	 U00096 	 973
RF00391 	 RtT 	 U00096 	 984
RF00005 	 tRNA 	 U00096 	 997
RF00005 	 tRNA 	 U00096 	 1030
RF00005 	 tRNA 	 U00096 	 1041
RF00005 	 tRNA 	 U00096 	 1046
RF00005 	 tRNA 	 U00096 	 1073
RF00005 	 tRNA 	 U00096 	 1078
RF01989 	 SECIS_3 	 U00096 	 1094
RF00078 	 MicA 	 U00096 	 1099
RF01988 	 SECIS_2 	 U00096 	 1100
RF01766 	 cspA 	 U00096 	 1122
RF00021 	 Spot_42 	 U00096 	 1126
RF00005 	 tRNA 	 U00096 	 1133
RF01707 	 JUMPstart 	 U00096 	 1134
RF01517 	 iscRS 	 U00096 	 1137
RF00005 	 tRNA 	 U00096 	 1145
RF01766 	 cspA 	 U00096 	 1187
RF00126 	 ryfA 	 U00096 	 1197
RF00005 	 tRNA 	 U00096 	 1264
RF00371 	 sroE 	 U00096 	 1317
